# fecha: 2026-09-15T11:37:36
# python: 3.14.2
# numpy: 2.4.3
# sha_v7: 3db0475ef0ea95ce
# sha_v7i: ddc6ad2816c965f6
# sha_este: 814fce58e7409a05
# NS: 20
# T: 100000
# condiciones: {"D_comida_solB0": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0}", "BD", 0], "D_comida_solB1": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1}", "BD", 1], "D_comida_solB2": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2}", "BD", 2], "AB0": ["{}", "AB", 0], "AB1": ["{'solap_AB': 1}", "AB", 1], "AB2": ["{'solap_AB': 2}", "AB", 2], "AB3": ["{'solap_AB': 3}", "AB", 3], "E2I_C_libre": ["{'nuevo': 'C'}", "AC", null], "CTRL_D_veneno_solB1": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 1}", "BD", 1], "CTRL_D_veneno_solB2": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 2}", "BD", 2]}
cond,seed,plast,solap_nominal,solap_par,solap_medido,solap_AB,solap_AC,solap_AD,solap_BC,solap_BD,solap_CD,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,err_max_A,err_max_B,err_max_C,err_max_D,deaths
AB2,19,False,2,AB,2,2,0,0,1,1,2,0,30,,,1.0,-2.97,-2.18,-2.18,0.8106,0.8063,0.8106,0.0,0.0,153
AB2,20,False,2,AB,2,2,0,0,0,0,1,0,30,,,1.0,-2.98,0.0,0.0,0.8618,0.8618,0.8589,0.0,0.0,139
AB3,1,True,3,AB,3,3,0,0,0,0,1,6,36,552,AB,1.0,-3.0,0.0,0.0,0.6258,0.6258,0.6149,0.0,0.0,147
AB3,2,True,3,AB,3,3,0,0,0,0,2,6,36,243,AB,1.0,-3.0,0.0,0.0,0.6261,0.6261,0.6135,0.0,0.0,162
AB3,3,True,3,AB,3,3,0,0,0,0,2,9,39,751,AB,1.0,-3.0,0.0,0.0,0.6056,0.6056,0.6052,0.0,0.0,150
AB3,4,True,3,AB,3,3,0,0,0,0,1,6,36,640,AB,1.0,-3.0,0.0,0.0,0.6204,0.6204,0.6026,0.0,0.0,141
AB3,5,True,3,AB,3,3,0,0,0,0,1,9,39,276,A,1.0,-3.0,0.0,0.0,0.6138,0.6138,0.5892,0.0,0.0,160
AB3,6,True,3,AB,3,3,0,0,0,0,0,9,39,885,B,1.0,-3.0,0.0,0.0,0.6116,0.5705,0.6116,0.0,0.0,154
AB3,7,True,3,AB,3,3,0,0,0,0,1,6,36,675,AB,1.0,-3.0,0.0,0.0,0.6077,0.6077,0.6055,0.0,0.0,141
AB3,8,True,3,AB,3,3,0,0,0,0,1,9,39,277,A,1.0,-3.0,0.0,0.0,0.6153,0.6153,0.568,0.0,0.0,150
AB3,9,True,3,AB,3,3,0,0,0,0,1,9,39,649,AB,1.0,-3.0,0.0,0.0,0.6239,0.6142,0.6239,0.0,0.0,128
AB3,10,True,3,AB,3,3,0,0,0,0,1,9,39,351,AB,1.0,-2.99,0.0,0.0,0.6186,0.6186,0.6171,0.0,0.0,154
