[17:33:38] SUBIDA N6 — mundos {'P': {'ancho': 11, 'alto': 11, 'cierre': 5, 'd_ini': 4}, 'E': {'ancho': 15, 'alto': 13, 'cierre': 6, 'd_ini': 5}} r_vis=1 T=100000 n_tel=40 semillas 6621-6640 brazos 11 pool=6 pid=23580 mundo_subida 484e34db8f2150da
[17:33:38]   regla 14 CIEGO  : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:33:38]   regla 14 CAMINO : 13 campos del 21-sep; difieren ['alto', 'prueba.cierre', 'prueba.d_ini'] (todas declaradas en PREREGISTRO §3)
[17:43:37]   [PASA] E-2 (secundaria) escala: GF_E - CIEGO_E >=                 1.0  (umbral 0.25) 
[17:43:37]   pareado (reportado): GF > BRUJULA en 17/20; GF > CIEGO en 17/20
[17:43:37] RESUMEN 10/11 principales, 2/2 secundarias -> NUCLEO (R-1a, R-1c, R-2b) PASA, alguna principal cae: HAY ALGO MODESTO
[17:43:37] REGLA 10: V1 15/20 -> subconjunto valido [6621, 6622, 6625, 6626, 6627, 6628, 6630, 6631, 6633, 6634, 6635, 6636, 6637, 6638, 6640] (se reporta JUNTO al completo)
[17:43:37]   [sub] [PASA] R-1a rodea: limpio(rodeo) GF >=                            1.0  (umbral 0.6) CIEGO 0.0 CAMINO 0.0 GRAD 0.0 FILTRO 0.1 BARAJADO 0.0 BRUJULA 0.0
[17:43:37]   [sub] [PASA] R-1b es el mapa: GF - max(CIEGO,BARAJADO) >=               1.0  (umbral 0.25) 
[17:43:37]   [sub] [PASA] R-1c es el VENENO recordado: GF - BRUJULA >=               1.0  (umbral 0.25) pisa(rodeo) BRUJULA 1.0
[17:43:37]   [sub] [PASA] R-2a no es huida: huye(rodeo) GF <=                        0.0  (umbral 0.2) 
[17:43:37]   [sub] [PASA] R-2b balanceada: J = limpio(rodeo)+limpio(atajo)-1 >=      1.0  (umbral 0.5) p1 1.0 c1 1.0  [recto(atajo) reportado, no es puerta: 0.25]
[17:43:37]   [sub] [PASA] R-3 cuesta menos: pasos_cens(rodeo) GF/CIEGO <=            0.283  (umbral 0.7) GF 17.0 CIEGO 60.0
[17:43:37]   [sub] [PASA] R-4 no regresion: comida GF/CIEGO >=                       4.299  (umbral 0.9) GF 1896 CIEGO 441 CAMINO 647
[17:43:37]   [sub] [PASA] R-5 muertes GF/CIEGO <=                                    0.118  (umbral 1.25) GF 12 CIEGO 102 CAMINO 35
[17:43:37]   [sub] [PASA] C1 INVERTIDO decisivo: limpio(rodeo) <=                    0.0  (umbral 0.2) pisa 1.0
[17:43:37]   [sub] [PASA] PLACEBO validez: |GF - PLACEBO| <= (si no, NO se lee)      0.05  (umbral 0.15) 
[17:43:37]   [sub] [PASA] V1 validez: comida y las DOS murallas enteras en M (15/15) 1.0  (umbral 1.0) 
[17:43:37]   [sub] [PASA] E-1 (secundaria) escala 15x13: limpio(rodeo) GF_E >=       1.0  (umbral 0.6) CIEGO_E 0.0
[17:43:37]   [sub] [PASA] E-2 (secundaria) escala: GF_E - CIEGO_E >=                 1.0  (umbral 0.25) 
[17:43:37]   [sub] pareado (reportado): GF > BRUJULA en 15/15; GF > CIEGO en 15/15
[17:43:37] RESUMEN SUBCONJUNTO 11/11 principales, 2/2 secundarias -> PASA TODAS LAS PRINCIPALES (FUNCIONA si la replica repite)
[17:43:38] JSON experimentos\subida_n6\datos\subida_s6621-6640_20260923_173338.json  sha af98c6148285a2be
