seed,patron,n_activos,nA,nB,W_obs,W_pred,residuo,W_pred_nominal,residuo_nominal,hamming_A,hamming_B,compartidos_A,compartidos_B,W_A_real,W_B_real,es_patron_nulo,code_X
3,100100,2,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,1,3,2,1,1,-2.99900998995,0,3 22 27
3,100101,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,4,2,1,1,-2.99900998995,0,3 22 27
3,100110,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,2,2,2,1,-2.99900998995,0,4 7 19
3,100111,4,0,0,0,0,0,0,0,3,3,2,2,1,-2.99900998995,0,19 22 28
3,101000,2,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,3,1,1,2,1,-2.99900998995,0,5 12 22
3,101001,3,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,4,2,1,2,1,-2.99900998995,0,5 12 22
3,101010,3,0,3,-2.99900998995,-2.99900998995,0,-3,0.000990010047015,4,0,1,3,1,-2.99900998995,0,5 12 26
3,101011,4,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,5,1,1,3,1,-2.99900998995,0,5 22 29
3,101100,3,1,1,-0.666336663318,-0.666336663318,0,-0.666666666667,0.000330003349,2,2,2,2,1,-2.99900998995,0,12 16 22
3,101101,4,0,2,-1.9993399933,-1.9993399933,0,-2,0.00066000669801,3,3,2,2,1,-2.99900998995,0,5 12 22
3,101110,4,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,3,1,2,3,1,-2.99900998995,0,7 12 22
3,101111,5,0,1,-0.999669996651,-0.999669996651,0,-1,0.000330003349005,4,2,2,3,1,-2.99900998995,0,5 22 28
3,110000,2,1,1,-0.666336663318,-0.666336663318,0,-0.666666666667,0.000330003349,1,3,2,1,1,-2.99900998995,0,4 12 23
3,110001,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,4,2,1,1,-2.99900998995,0,2 23 27
3,110010,3,1,0,0.333333333333,0.333333333333,0,0.333333333333,-4.82947015712e-15,2,2,2,2,1,-2.99900998995,0,4 23 29
3,110011,4,0,0,0,0,0,0,0,3,3,2,2,1,-2.99900998995,0,23 28 29
3,110100,3,3,0,1,1,0,1,-1.45439216226e-14,0,4,3,1,1,-2.99900998995,0,4 16 27
3,110101,4,2,0,0.666666666667,0.666666666667,0,0.666666666667,-9.65894031424e-15,1,5,3,1,1,-2.99900998995,0,4 22 27
