bloque,cond,plast,paso_t,lam,seed,t_techo,techo_primero,n_techo,deaths,mv_tot,mc_tot,splits,celdas,t_agot,err_max,Nstar,Mmax,W_A_fin,W_B_fin
S,S_F,False,,0.05,4,,,0,528,383,1247,0,30,,0.0,,,1.0,-2.9369
S,S_F,False,,0.05,5,,,0,505,397,1245,0,30,,0.0,,,1.0,-2.9754
S,S_F,False,,0.05,6,,,0,532,391,1174,0,30,,0.0,,,1.0,-2.9754
S,S_F,False,,0.05,7,,,0,527,362,1219,0,30,,0.0,,,1.0,-2.9776
S,S_F,False,,0.05,8,,,0,521,385,1240,0,30,,0.0,,,1.0,-2.9797
S,S_F,False,,0.05,9,,,0,533,387,1205,0,30,,0.0,,,1.0,-2.9847
S,S_F,False,,0.05,10,,,0,515,378,1236,0,30,,0.0,,,1.0,-2.9815
S,S_F,False,,0.05,11,,,0,489,390,1246,0,30,,0.0,,,1.0,-2.9797
S,S_F,False,,0.05,12,,,0,503,370,1235,0,30,,0.0,,,1.0,-2.9861
S,S_F,False,,0.05,13,,,0,536,396,1252,0,30,,0.0,,,1.0,-2.9861
S,S_F,False,,0.05,14,,,0,542,381,1168,0,30,,0.0,,,1.0,-2.9307
S,S_F,False,,0.05,15,,,0,562,391,1118,0,30,,0.0,,,1.0,-2.9832
S,S_F,False,,0.05,16,,,0,512,368,1172,0,30,,0.0,,,1.0,-2.9642
S,S_F,False,,0.05,17,,,0,504,389,1286,0,30,,0.0,,,1.0,-2.9884
S,S_F,False,,0.05,18,,,0,521,381,1244,0,30,,0.0,,,1.0,-2.9754
S,S_F,False,,0.05,19,,,0,473,375,1294,0,30,,0.0,,,1.0,-2.9776
S,S_F,False,,0.05,20,,,0,555,365,1157,0,30,,0.0,,,1.0,-2.9754
S,S_T,True,,0.0,1,202823,"('B', 'Wn', 4)",10594,983,6070,6619,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,2,202408,"('B', 'Wn', 4)",11040,979,6359,6862,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,3,102492,"('A', 'Wp', 2)",19777,1124,9917,10423,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,4,201996,"('B', 'Wn', 4)",10304,922,5802,6309,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,5,201377,"('B', 'Wn', 4)",10524,910,5830,6482,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,6,105047,"('A', 'Wp', 2)",16216,1143,9413,9760,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,7,202858,"('B', 'Wn', 4)",10281,906,5741,6187,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,8,152492,"('A', 'Wn', 3)",14902,983,7807,8496,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,9,202368,"('B', 'Wn', 4)",10138,911,5654,6229,60,90,,3.0,,,0.0,0.0
S,S_T,True,,0.0,10,202523,"('B', 'Wn', 4)",11585,960,6773,7512,60,90,,3.0,,,0.0,0.0
